Traffic,Date,Tag ID,Tag Name,Tag Dimensions,Type,Site,Requests,Opportunities,Impressions,Fill Rate,CPM,Earnings
Combined,2016-06-19,347712,Gravitytales_300_ATF,300x250,DISPLAY,all traffic,4081,0,480,0.12,0.30,0.14
Combined,2016-06-19,347713,Gravitytales_300_ATF_NoFloor,300x250,DISPLAY,all traffic,1407,0,193,0.14,0.11,0.02
Combined,2016-06-19,357729,Gravitytales_300_Mobile1,300x250,DISPLAY,all traffic,3,0,0,0.00,0.00,0.00
Combined,2016-06-19,358015,Gravitytales_300_Mobile1z,300x250,DISPLAY,all traffic,1,0,0,0.00,0.00,0.00
Combined,2016-06-19,352652,Gravitytales_300_Mobile2,300x250,DISPLAY,all traffic,423553,0,62070,0.15,0.35,21.56
Combined,2016-06-19,362134,Gravitytales_300_Mobile2z,300x250,DISPLAY,all traffic,336265,0,62301,0.19,0.09,5.78
Combined,2016-06-19,359751,Gravitytales_300_Mobile3,300x250,DISPLAY,all traffic,422744,0,55155,0.13,0.30,16.50
Combined,2016-06-19,362137,Gravitytales_300_Mobile3z,300x250,DISPLAY,all traffic,343522,0,64864,0.19,0.10,6.16
Combined,2016-06-19,358045,Gravitytales_728_ATF,728x90,DISPLAY,all traffic,550075,0,64608,0.12,0.44,28.25
Combined,2016-06-19,358046,Gravitytales_728_ATF_NoFloor,728x90,DISPLAY,all traffic,281137,0,61629,0.22,0.05,3.26
Combined,2016-06-19,339886,GravityTales_728_BTF,728x90,DISPLAY,all traffic,480033,0,58481,0.12,0.44,25.46
Combined,2016-06-19,341246,GravityTales_728_BTF_NoFloor,728x90,DISPLAY,all traffic,344965,0,86000,0.25,0.06,5.24
Combined,2016-06-19,337206,heroicnovels.com_300X250,300x250,DISPLAY,all traffic,112,0,7,0.06,0.63,0.00
Combined,2016-06-19,342729,Moonbunnycafe_300,300x250,DISPLAY,all traffic,42071,0,12595,0.30,0.31,3.94
Combined,2016-06-19,342730,Moonbunnycafe_300x600,300x600,DISPLAY,all traffic,40942,0,9581,0.23,0.10,0.96
Combined,2016-06-19,361069,Moonbunnycafe_300_2,300x250,DISPLAY,all traffic,2289,0,120,0.05,0.46,0.05
Combined,2016-06-19,361070,Moonbunnycafe_300_3,300x250,DISPLAY,all traffic,2306,0,142,0.06,0.41,0.06
Combined,2016-06-19,342731,Moonbunnycafe_728,728x90,DISPLAY,all traffic,43540,0,9905,0.23,0.17,1.68
Combined,2016-06-19,361071,Moonbunnycafe_728_2,728x90,DISPLAY,all traffic,3007,0,222,0.07,0.27,0.06
Combined,2016-06-19,361072,Moonbunnycafe_728_3,728x90,DISPLAY,all traffic,2979,0,222,0.07,0.26,0.06
Combined,2016-06-19,339903,PikaTranslations_300x600_BTF1,300x600,DISPLAY,all traffic,1576,0,379,0.24,0.41,0.15
Combined,2016-06-19,339904,PikaTranslations_300x600_BTF2,300x600,DISPLAY,all traffic,1564,0,361,0.23,0.43,0.15
Combined,2016-06-19,339902,PikaTranslations_300_ATF,300x250,DISPLAY,all traffic,1591,0,657,0.41,0.45,0.29
Combined,2016-06-19,339905,PikaTranslations_300_BTF,300x250,DISPLAY,all traffic,1578,0,642,0.41,0.44,0.28
Combined,2016-06-19,340174,ShiroyukiTranslations_300,300x250,DISPLAY,all traffic,148500,0,36294,0.24,0.54,19.60
Combined,2016-06-19,341505,ShiroyukiTranslations_300_NoFloor,300x250,DISPLAY,all traffic,68376,0,30258,0.44,0.10,3.08
Combined,2016-06-19,350857,Subudai11_300,300x250,DISPLAY,all traffic,15655,0,5195,0.33,0.21,1.12
Combined,2016-06-19,339901,TranslationNations_300,300x250,DISPLAY,all traffic,166767,0,55687,0.33,0.69,38.18
Combined,2016-06-19,341243,TranslationNations_300_NoFloor,300x250,DISPLAY,all traffic,47878,0,21372,0.45,0.10,2.07
